"from_country","to_country","move_year","n_moves","n_unique_movers"
"Germany","United States",2017,39,39
"Germany","Netherlands",2021,39,39
"Netherlands","Germany",2022,38,37
"India","United States",2015,38,38
"Netherlands","Belgium",2022,38,38
"Brazil","United States",2022,38,37
"India","Singapore",2020,37,36
"United States","Switzerland",2021,37,37
"Indonesia","United States",2024,37,35
"United States","Japan",2021,37,37
"United States","Switzerland",2022,37,37
"Netherlands","Belgium",2016,36,34
"Canada","India",2022,36,36
"Spain","United States",2022,36,36
"United States","Netherlands",2013,36,36
"United States","Germany",2018,36,36
"Switzerland","United States",2021,36,36
"United States","United Kingdom",2017,36,36
"United Kingdom","United States",2017,36,36
"Germany","Netherlands",2022,36,35
"Turkey","United States",2023,36,35
"United States","United Arab Emirates",2023,36,36
"India","Netherlands",2021,36,36
"Iran","Canada",2022,36,36
"Netherlands","Germany",2018,36,36
"Russia","Armenia",2022,35,35
"Netherlands","Belgium",2013,35,34
"United Kingdom","Netherlands",2021,35,35
"Singapore","India",2024,35,34
"Australia","United States",2022,35,35
"United States","Switzerland",2024,35,32
"India","Australia",2024,35,34
"South Korea","United States",2023,35,35
"Canada","France",2023,35,35
"United States","Singapore",2023,35,35
"Netherlands","Belgium",2015,35,35
"China","United States",2017,34,34
"United States","Spain",2024,34,34
"United States","Japan",2020,34,34
"Germany","Netherlands",2016,34,34
"Russia","Serbia",2023,34,34
"Germany","India",2022,33,32
"Germany","United Kingdom",2021,33,33
"United States","South Korea",2021,33,33
"Canada","United States",2016,33,33
"United Kingdom","France",2021,33,33
"Egypt","United States",2023,33,33
"Belgium","Netherlands",2020,33,33
"United Arab Emirates","United States",2024,33,32
"United States","Australia",2022,33,33
"Turkey","Germany",2022,33,33
"Netherlands","United Kingdom",2019,32,32
"Nigeria","United States",2024,32,31
"United States","Sweden",2021,32,32
"United States","Netherlands",2024,32,32
"Japan","United States",2020,32,32
"Canada","India",2024,32,32
"Japan","United States",2021,32,32
"Netherlands","Germany",2014,32,32
"United States","Israel",2023,32,32
"Singapore","United States",2021,31,31
"United States","Israel",2022,31,31
"Taiwan","United States",2024,31,31
"Brazil","United States",2021,31,31
"Germany","Netherlands",2015,31,31
"Canada","India",2021,31,31
"Belgium","Netherlands",2012,31,31
"India","Canada",2019,31,31
"United States","Japan",2019,31,31
"France","Canada",2022,31,31
"Netherlands","Germany",2015,31,31
"Singapore","United States",2020,31,31
"India","Egypt",2024,31,30
"France","United Kingdom",2019,31,31
"Canada","India",2023,31,31
"Belgium","Netherlands",2016,31,31
"United Arab Emirates","United States",2023,30,30
"Pakistan","India",2024,30,28
"United States","South Korea",2023,30,30
"United States","Spain",2023,30,30
"United Kingdom","Germany",2022,30,30
"Germany","United Kingdom",2019,30,29
"Iran","Canada",2024,30,30
"Taiwan","United States",2021,30,30
"Germany","India",2024,30,30
"Netherlands","United Kingdom",2022,29,29
"India","United Kingdom",2019,29,29
"China","Canada",2022,29,29
"Tunisia","France",2023,29,28
"Canada","India",2020,29,29
"United Kingdom","France",2020,29,29
"Switzerland","United States",2020,29,29
"Sweden","United States",2024,29,29
"Spain","United States",2024,29,29
"United States","France",2018,29,29
"Morocco","France",2023,29,28
"Netherlands","Belgium",2012,29,29
"Netherlands","Germany",2023,29,29
"Singapore","India",2023,29,29
"Australia","United States",2024,29,29
"Germany","United Kingdom",2020,29,29
"France","United States",2017,28,28
"Turkey","Germany",2023,28,28
"Netherlands","Germany",2016,28,28
"Israel","United States",2021,28,28
"Germany","Switzerland",2022,28,28
"United States","Israel",2021,28,28
"United States","China",2022,28,28
"Germany","Switzerland",2023,28,28
"India","Japan",2023,28,28
"Belgium","Netherlands",2013,28,27
"United States","Indonesia",2024,28,25
"Switzerland","United States",2019,28,28
"United States","South Korea",2024,28,28
"United States","Netherlands",2010,28,28
"France","United Kingdom",2022,28,28
"India","Japan",2024,28,28
"United States","Turkey",2024,28,28
"United States","Netherlands",2011,28,28
"Netherlands","Belgium",2023,28,28
"Israel","United States",2023,27,27
"Argentina","United States",2024,27,27
"United States","Egypt",2024,27,26
"Nigeria","United States",2023,27,26
"France","Canada",2023,27,26
"Bangladesh","United States",2024,27,26
"India","Netherlands",2023,27,27
"France","Switzerland",2022,27,27
"Mexico","United States",2023,27,27
"Germany","United Kingdom",2023,27,27
"Morocco","France",2024,27,27
"Tunisia","France",2024,27,27
"Netherlands","Germany",2013,26,26
"Argentina","United States",2023,26,26
"Italy","United States",2024,26,26
"Netherlands","India",2022,26,26
"United Kingdom","India",2022,26,26
"Russia","Serbia",2022,26,26
"Germany","Netherlands",2014,26,26
"India","Japan",2019,26,26
"United States","Switzerland",2020,26,26
"France","United Kingdom",2024,26,26
"India","United Arab Emirates",2022,26,26
"Germany","France",2022,26,26
"Netherlands","Belgium",2011,26,26
"United Kingdom","Switzerland",2023,26,26
"Taiwan","United States",2023,26,26
"Pakistan","United Arab Emirates",2024,26,26
"United States","Singapore",2024,26,25
"Japan","United States",2019,26,26
"United Kingdom","France",2022,25,25
"Sweden","United States",2022,25,25
"Japan","United States",2018,25,24
"United Kingdom","Netherlands",2018,25,25
"Netherlands","United Kingdom",2020,25,25
"Netherlands","Germany",2020,25,25
"France","Germany",2022,25,25
"Canada","United Kingdom",2023,25,25
"Russia","United Kingdom",2023,25,25
"Belgium","United States",2021,25,25
"United States","Brazil",2023,25,25
"United States","Pakistan",2022,25,25
"China","Canada",2023,25,25
"United Kingdom","Germany",2024,25,25
"Germany","Switzerland",2021,24,24
"United Kingdom","France",2019,24,24
"Turkey","United States",2021,24,24
"India","Australia",2022,24,23
"Pakistan","United Kingdom",2023,24,24
"Singapore","India",2022,24,24
"United States","Australia",2021,24,24
"United States","Turkey",2023,24,24
"China","Canada",2024,24,24
"France","Switzerland",2023,24,24
"South Korea","United States",2019,24,24
"United States","Singapore",2022,24,24
"United States","Japan",2018,24,24
"Tunisia","France",2022,24,24
"Pakistan","United Kingdom",2024,24,24
"Singapore","India",2021,24,24
"France","Canada",2021,24,24
"Netherlands","United States",2010,24,24
"United Arab Emirates","United States",2022,24,24
"United States","Switzerland",2019,24,24
"India","United Kingdom",2018,24,23
"United Kingdom","Germany",2021,23,23
"Russia","United States",2020,23,23
"Russia","Germany",2023,23,23
"United States","Egypt",2023,23,23
"Bangladesh","United States",2023,23,23
"Taiwan","United States",2022,23,23
"Pakistan","Germany",2022,23,23
"France","Canada",2020,23,23
"Egypt","United Arab Emirates",2024,23,22
"Singapore","United States",2019,23,23
"Pakistan","United States",2020,23,23
"Iran","Canada",2020,23,23
"Sweden","United States",2021,23,23
"United Kingdom","United States",2016,23,23
"France","United Kingdom",2020,23,23
"Israel","United States",2024,23,23
"United States","China",2017,23,23
"Belgium","United States",2020,23,23
"Russia","United Kingdom",2021,23,23
"United Kingdom","Netherlands",2016,23,23
"United Kingdom","Netherlands",2022,23,23
"Colombia","United States",2022,23,23
"Netherlands","United States",2011,23,23
"Germany","India",2023,23,23
"Russia","Netherlands",2022,23,23
"Canada","United Kingdom",2024,23,23
"France","Canada",2024,22,22
"United Arab Emirates","India",2024,22,22
"India","Netherlands",2024,22,22
"United Kingdom","Netherlands",2015,22,22
"United Kingdom","Canada",2023,22,22
"Spain","United Kingdom",2020,22,22
"Netherlands","Germany",2012,22,22
"United Kingdom","Netherlands",2020,22,22
"United States","Sweden",2020,22,22
"France","Germany",2023,22,22
"Egypt","United States",2022,22,22
"United States","Singapore",2020,22,22
"Australia","United States",2020,22,22
"Canada","France",2020,22,22
"United Kingdom","Netherlands",2017,22,22
"United Kingdom","France",2023,22,22
"France","United States",2016,21,21
"Spain","United Kingdom",2022,21,21
"Belgium","Netherlands",2023,21,21
"United States","Israel",2019,21,21
"Belgium","United States",2022,21,21
"Tunisia","France",2021,21,21
"China","United Kingdom",2024,21,21
"Russia","Israel",2022,21,21
"Germany","Netherlands",2023,21,21
"United States","France",2017,21,21
"United Kingdom","India",2021,21,21
"United States","Spain",2022,21,21
"India","Germany",2019,21,21
"Germany","Netherlands",2013,21,21
"United States","Israel",2020,21,21
"India","United Arab Emirates",2021,21,21
"France","Switzerland",2024,21,21
"Germany","Switzerland",2024,21,21
"United Kingdom","Germany",2020,21,21
"United States","South Korea",2020,21,21
"Japan","India",2023,21,21
"United States","Israel",2018,21,21
"India","Singapore",2019,21,21
"United States","Canada",2016,21,21
"France","Netherlands",2022,21,21
"Netherlands","United Kingdom",2013,20,20
"Netherlands","United States",2009,20,20
"India","Japan",2021,20,20
"Russia","United Kingdom",2020,20,20
"United States","Sweden",2023,20,20
"China","Singapore",2023,20,20
"United States","Russia",2020,20,20
"India","Australia",2021,20,20
"Russia","United States",2023,20,20
"China","Canada",2020,20,20
"India","Egypt",2023,20,19
"United States","India",2016,20,20
"Russia","United Kingdom",2019,20,20
"India","Australia",2023,20,20
"India","Pakistan",2023,20,19
"Netherlands","United Kingdom",2023,20,19
"United States","Italy",2024,20,20
"South Korea","United States",2020,20,20
"Sweden","United States",2023,20,20
"Russia","Armenia",2023,20,20
"United States","Belgium",2018,20,20
"United States","Singapore",2021,19,19
"Netherlands","United Kingdom",2016,19,19
"Tunisia","Canada",2024,19,19
"China","United States",2016,19,19
"France","Germany",2024,19,19
"Colombia","United States",2023,19,19
"Germany","France",2021,19,19
"Turkey","Germany",2021,19,19
"United Kingdom","Spain",2023,19,19
"Russia","United States",2019,19,19
"Germany","India",2021,19,19
"United States","Australia",2020,19,19
"United Kingdom","Spain",2022,19,19
"Canada","United Kingdom",2022,19,19
"Russia","Georgia",2022,19,19
"Colombia","United States",2024,19,19
"United States","Sweden",2019,19,19
"Israel","United States",2019,19,19
"Mexico","United States",2024,19,19
"Germany","Switzerland",2020,19,19
"Turkey","United Kingdom",2022,19,19
"Spain","United States",2019,18,18
"India","United Kingdom",2017,18,17
"France","United Kingdom",2023,18,18
"United Kingdom","Netherlands",2023,18,17
"China","Singapore",2021,18,18
"United Kingdom","United States",2015,18,18
"Canada","France",2022,18,18
"Pakistan","Germany",2021,18,18
"Pakistan","India",2023,18,18
"United States","Belgium",2021,18,18
"Egypt","United Arab Emirates",2021,18,18
"Netherlands","Germany",2024,18,18
"India","France",2024,18,18
"Germany","Spain",2024,18,18
"Tunisia","Germany",2023,18,18
"Poland","United States",2024,18,18
"Pakistan","United Kingdom",2022,18,18
"China","Singapore",2022,18,18
"Netherlands","United Kingdom",2018,18,18
"Iran","Germany",2022,18,18
"United States","Mexico",2024,18,18
"Canada","France",2024,18,18
"United States","Netherlands",2009,17,17
"Iran","United States",2023,17,17
"United States","Switzerland",2018,17,17
"Spain","Germany",2021,17,17
"Italy","Germany",2022,17,17
"Canada","France",2021,17,17
"Russia","Georgia",2021,17,17
"Egypt","Saudi Arabia",2024,17,17
"Canada","United Kingdom",2021,17,17
"Japan","India",2022,17,17
"Pakistan","United Kingdom",2021,17,17
"Pakistan","United Arab Emirates",2023,17,17
"Belgium","United States",2024,17,17
"Spain","United States",2020,17,17
"Netherlands","United States",2008,17,17
"Netherlands","United Kingdom",2021,17,17
"France","Canada",2018,17,17
"Israel","United States",2020,17,17
"United States","Netherlands",2008,17,17
"United States","Singapore",2019,17,16
"Canada","France",2019,17,17
"United Kingdom","Germany",2019,17,16
"India","Ireland",2024,17,17
"France","Netherlands",2024,17,17
"Netherlands","Switzerland",2022,17,17
"United States","Colombia",2024,17,15
"United States","United Kingdom",2016,17,17
"Egypt","Saudi Arabia",2023,17,17
"China","Singapore",2024,17,17
"Russia","Germany",2021,17,17
"India","United Arab Emirates",2019,17,17
"Italy","Switzerland",2024,17,17
"Nepal","United States",2020,17,17
"Japan","United States",2017,17,17
"Germany","France",2019,17,17
"Belgium","United States",2018,17,17
"Russia","United Arab Emirates",2022,17,17
"Australia","United States",2021,16,16
"Belgium","Netherlands",2011,16,16
"Sweden","United States",2019,16,16
"Belgium","United States",2019,16,16
"United States","Spain",2020,16,16
"United Kingdom","India",2019,16,16
"United Kingdom","Netherlands",2014,16,16
"United Kingdom","Pakistan",2023,16,16
"Egypt","United Arab Emirates",2022,16,15
"Belgium","Netherlands",2010,16,16
"Nepal","United States",2022,16,16
"United States","Australia",2018,16,16
"France","United Kingdom",2018,16,16
"United States","Saudi Arabia",2023,16,16
"India","Australia",2020,16,16
"Japan","India",2024,16,16
"France","Germany",2017,16,16
"India","Japan",2022,16,16
"United States","China",2016,16,16
"Spain","United States",2021,16,16
"United States","United Arab Emirates",2021,16,16
"Japan","India",2021,16,16
"Portugal","United States",2023,16,16
"United States","Sweden",2024,16,16
"United States","South Korea",2019,16,16
"Turkey","Germany",2024,16,16
"Netherlands","India",2020,16,16
"Switzerland","France",2023,16,16
"United States","Pakistan",2021,16,16
"Costa Rica","United States",2020,16,16
"United States","Netherlands",2007,16,16
"France","India",2024,16,16
"Switzerland","Germany",2023,16,16
"United States","Nigeria",2023,16,15
"Egypt","United Arab Emirates",2023,16,16
"United Kingdom","Canada",2022,16,16
"Switzerland","France",2024,16,16
"Germany","United Kingdom",2024,16,16
"Russia","Netherlands",2023,15,15
"United Kingdom","Switzerland",2022,15,15
"Israel","United States",2018,15,15
"United States","Belgium",2022,15,15
"United States","Turkey",2021,15,15
"Egypt","India",2024,15,15
"India","United Arab Emirates",2020,15,15
"Germany","Netherlands",2012,15,15
"Germany","France",2023,15,15
"Russia","United States",2024,15,15
"United States","Nigeria",2024,15,14
"Germany","India",2020,15,15
"Egypt","Saudi Arabia",2022,15,15
"Pakistan","Canada",2023,15,15
"United States","Poland",2024,15,15
"Indonesia","Singapore",2022,15,15
"United Arab Emirates","United States",2020,15,14
"Poland","United States",2022,15,15
"France","Belgium",2023,15,15
"Australia","United States",2019,15,15
"United Kingdom","Netherlands",2024,15,15
"Costa Rica","United States",2019,15,15
"United Arab Emirates","India",2023,15,15
"Singapore","China",2023,15,15
"United States","Turkey",2022,15,15
"Germany","France",2024,15,15
"United States","South Korea",2022,15,15
"South Korea","United States",2018,15,15
"Iran","United States",2021,15,15
"Russia","Kazakhstan",2022,15,15
"France","Belgium",2022,15,15
"United Kingdom","Switzerland",2024,15,13
"United States","United Kingdom",2015,15,15
"France","Belgium",2021,15,14
"Netherlands","United States",2007,15,15
"United States","Belgium",2023,15,15
"Netherlands","Germany",2011,15,15
"Brazil","United States",2019,15,15
"United Kingdom","Spain",2020,15,15
"United Kingdom","Italy",2024,15,15
"Netherlands","France",2020,15,15
"Iran","Canada",2019,15,15
"France","Germany",2021,15,15
"Egypt","United States",2021,15,15
"Germany","United States",2016,15,15
"Netherlands","France",2024,15,15
"Belgium","United States",2023,15,15
"Mexico","United States",2021,14,14
"India","France",2022,14,14
"France","Belgium",2024,14,14
"Pakistan","Canada",2021,14,14
"Switzerland","Germany",2022,14,14
"Singapore","India",2019,14,14
"United States","Belgium",2019,14,14
"Egypt","India",2022,14,14
"United States","Belgium",2024,14,14
"Italy","United Kingdom",2019,14,14
"France","Tunisia",2024,14,14
"United Kingdom","Canada",2020,14,14
"Singapore","United States",2017,14,14
"Brazil","United States",2020,14,14
"Russia","Cyprus",2022,14,14
"Switzerland","Germany",2021,14,14
"United States","Germany",2017,14,14
"United Kingdom","France",2024,14,13
"United States","Japan",2017,14,13
"Italy","United States",2022,14,14
"Singapore","India",2020,14,14
"United Kingdom","Netherlands",2019,14,14
"United Kingdom","France",2018,14,14
"Sweden","United States",2018,14,14
"Turkey","United States",2020,14,14
"Israel","United States",2017,14,13
"United Kingdom","India",2018,14,14
"India","France",2023,14,14
"Spain","United Kingdom",2023,14,14
"Italy","United States",2021,14,14
"South Africa","Netherlands",2019,14,14
"United States","Bangladesh",2024,14,13
"Belarus","Poland",2022,14,14
"United States","Costa Rica",2018,14,14
"Belgium","France",2022,13,13
"United States","Costa Rica",2019,13,13
"Switzerland","France",2021,13,13
"India","Australia",2019,13,13
"United States","Brazil",2022,13,13
"Netherlands","Belgium",2009,13,13
"Morocco","France",2021,13,13
"Vietnam","United States",2024,13,13
"Iran","Germany",2023,13,13
"Italy","United States",2020,13,13
"China","United Kingdom",2019,13,13
"Switzerland","United States",2018,13,13
"Germany","United States",2015,13,13
"Spain","France",2023,13,13
"Indonesia","Singapore",2024,13,13
"Egypt","Germany",2021,13,13
"United Kingdom","Canada",2018,13,13
"Saudi Arabia","United States",2024,13,13
"Turkey","United Kingdom",2023,13,13
"France","Switzerland",2021,13,13
"Algeria","France",2022,13,13
"Turkey","Canada",2023,13,13
"Italy","United Kingdom",2022,13,13
"India","Canada",2018,13,13
"Vietnam","United States",2022,13,13
"Belgium","France",2020,13,13
"France","Netherlands",2021,13,13
"United Kingdom","Switzerland",2020,13,13
"India","Netherlands",2019,13,13
"Netherlands","Switzerland",2015,13,13
"United States","Brazil",2021,13,13
"Germany","Sweden",2020,13,13
"Iran","United States",2024,13,13
"Canada","United States",2015,13,13
"United Arab Emirates","United Kingdom",2023,13,13
"United States","Finland",2023,13,13
"Morocco","France",2022,13,13
"Russia","Armenia",2021,13,13
"France","United Arab Emirates",2022,13,13
"France","Spain",2023,13,13
"United States","Ireland",2023,13,13
"Tunisia","France",2019,13,13
"Russia","Germany",2020,13,13
"Vietnam","United States",2023,13,13
"United States","Argentina",2024,13,13
"Argentina","United States",2021,13,13
"Ireland","United States",2022,13,13
"Germany","United Kingdom",2018,13,13
"Canada","Germany",2024,13,13
"United States","Taiwan",2021,13,13
"United States","Egypt",2021,13,13
"Italy","United States",2019,13,13
"Netherlands","United Kingdom",2024,13,13
"Spain","Netherlands",2023,13,13
"Bangladesh","United States",2022,13,13
"Pakistan","Canada",2024,13,13
"Pakistan","Germany",2023,13,13
"Germany","Sweden",2022,13,13
"Tunisia","France",2020,13,13
"Morocco","France",2020,13,13
"Switzerland","United Kingdom",2023,13,13
"Nepal","United States",2023,13,13
"France","Switzerland",2020,13,13
"China","United Kingdom",2023,13,13
"Argentina","United States",2022,13,13
"Netherlands","United Kingdom",2011,13,13
"Pakistan","United States",2019,13,13
"China","Singapore",2019,13,13
"India","Ireland",2022,13,13
"China","Australia",2024,12,12
"Poland","United States",2021,12,12
"Russia","United Kingdom",2024,12,12
"Netherlands","United Kingdom",2017,12,12
"United States","Belgium",2016,12,12
"Germany","India",2019,12,12
"Algeria","France",2020,12,12
"China","Hong Kong",2024,12,12
"Switzerland","Netherlands",2015,12,11
"Spain","United Kingdom",2019,12,12
"Singapore","Australia",2022,12,12
"Germany","France",2018,12,12
"Italy","Netherlands",2021,12,12
"United Kingdom","India",2017,12,11
"United States","Belgium",2017,12,12
"Canada","China",2021,12,12
"Taiwan","United States",2019,12,12
"United States","Ireland",2024,12,12
"United Kingdom","Italy",2021,12,12
"Italy","United Kingdom",2024,12,12
"Luxembourg","Netherlands",2021,12,12
"Kenya","United States",2024,12,12
"Algeria","France",2024,12,12
"Switzerland","United Kingdom",2022,12,11
"Egypt","United Kingdom",2024,12,12
"France","Netherlands",2023,12,12
"Pakistan","Saudi Arabia",2023,12,12
"Switzerland","Germany",2024,12,12
"Turkey","Netherlands",2020,12,12
"United Kingdom","United Arab Emirates",2024,12,12
"India","Ireland",2021,12,12
"United States","Israel",2024,12,12
"Tunisia","Canada",2022,12,12
"Russia","Georgia",2023,12,12
"Philippines","United States",2023,12,12
"Costa Rica","United States",2018,12,12
"Russia","Cyprus",2023,12,12
"Sweden","United Kingdom",2023,12,12
"United States","Taiwan",2024,12,12
"Russia","Germany",2024,12,12
"Spain","Germany",2022,12,12
"United States","Germany",2016,12,12
"Turkey","United Kingdom",2020,12,12
"Germany","Spain",2019,12,12
"Turkey","United States",2019,12,12
"Australia","India",2023,12,12
"Saudi Arabia","United States",2023,12,12
"Tunisia","Canada",2023,12,12
"Belgium","Netherlands",2024,12,12
"Germany","Austria",2023,12,12
"United Kingdom","Pakistan",2024,12,12
"United States","India",2015,12,12
"Netherlands","France",2016,12,12
"United States","France",2016,12,12
"Turkey","United Kingdom",2024,12,12
"Switzerland","United Kingdom",2021,12,12
"Italy","Netherlands",2022,12,12
"Germany","Netherlands",2011,12,12
"Netherlands","Germany",2008,12,12
"Sri Lanka","United States",2023,12,12
"United States","Belgium",2020,12,11
"United States","Italy",2023,12,12
"Singapore","United States",2018,12,12
"United States","Mexico",2023,12,12
"United States","Hong Kong",2020,12,12
"Japan","India",2020,12,12
"Germany","Spain",2023,12,12
"Belgium","France",2024,12,12
"South Africa","Netherlands",2021,12,12
"Poland","United States",2020,12,12
"United States","Spain",2021,12,12
"United States","Australia",2019,12,12
"Japan","United Kingdom",2021,12,12
"Spain","United Kingdom",2018,12,12
"Tunisia","Canada",2021,12,12
"United States","Ireland",2021,12,12
"Australia","United Kingdom",2024,12,12
"Algeria","France",2021,12,12
"Hong Kong","United States",2021,12,12
"United States","Italy",2020,12,12
"Australia","India",2021,12,12
"United States","Egypt",2022,12,12
"Russia","Germany",2019,12,12
"United Kingdom","United States",2012,12,12
"Italy","Switzerland",2022,11,11
"Germany","Netherlands",2024,11,11
"Australia","United Kingdom",2021,11,11
"Russia","France",2022,11,11
"Iran","United Arab Emirates",2023,11,11
"United Kingdom","France",2017,11,11
"Hong Kong","United States",2024,11,11
"India","United States",2014,11,11
"Australia","India",2024,11,10
"United Kingdom","Egypt",2022,11,11
"United Kingdom","Spain",2021,11,11
"Australia","India",2020,11,11
"Netherlands","India",2019,11,11
"Netherlands","Switzerland",2021,11,11
"Hong Kong","United States",2020,11,11
"United States","Colombia",2023,11,11
"United States","Ireland",2022,11,11
"United States","South Korea",2018,11,11
